x-axis,B,2
second,Volt,Volt
-109.995E-06,+2.400410156E+00,+532.419149E-03
-104.995E-06,+2.419943359E+00,+529.683992E-03
-99.995E-06,+2.441423828E+00,+526.168367E-03
-94.995E-06,+2.459001953E+00,+522.652352E-03
-89.995E-06,+2.476580078E+00,+518.746492E-03
-84.995E-06,+2.494158203E+00,+515.230086E-03
-79.995E-06,+2.511734375E+00,+510.933601E-03
-74.995E-06,+2.527359375E+00,+507.026570E-03
-69.995E-06,+2.542986328E+00,+502.339851E-03
-64.995E-06,+2.560562500E+00,+498.433601E-03
-59.995E-06,+2.576183594E+00,+494.526960E-03
-54.995E-06,+2.587906250E+00,+490.230085E-03
-49.995E-06,+2.603529297E+00,+485.933210E-03
-44.995E-06,+2.617197266E+00,+481.635945E-03
-39.995E-06,+2.626964844E+00,+476.948054E-03
-34.995E-06,+2.638681641E+00,+471.869538E-03
-29.995E-06,+2.648445312E+00,+466.401179E-03
-24.995E-06,+2.656259766E+00,+461.322272E-03
-19.995E-06,+2.666025391E+00,+455.463288E-03
-14.995E-06,+2.675791016E+00,+449.994147E-03
-9.995E-06,+2.685554687E+00,+444.135163E-03
-4.995E-06,+2.693367187E+00,+438.666022E-03
+5E-09,+2.701175781E+00,+432.806647E-03
+5.005E-06,+2.705083984E+00,+426.946491E-03
+10.005E-06,+2.710941406E+00,+420.305866E-03
+15.005E-06,+2.714847656E+00,+413.665241E-03
+20.005E-06,+2.718753906E+00,+407.025006E-03
+25.005E-06,+2.722656250E+00,+400.775006E-03
+30.005E-06,+2.722658203E+00,+394.524615E-03
